S.No,Gender,Age_Group,Skin_Type,Skin_Concern,Recommended_Products
1,Male,15-20,Combination,Wrinkles,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
37,Female,31-35,Dry,Wrinkles,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
38,Male,15-20,Normal,Oiliness,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
39,Male,41-45,Dry,Dullness,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
40,Male,Above 45,Sensitive,Wrinkles,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
41,Female,21-25,Dry,Darkness,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
42,Male,Above 45,Dry,Oiliness,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
43,Female,21-25,Sensitive,Acne,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
44,Female,41-45,Dry,Sensitivity,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
45,Female,26-30,Normal,Dryness,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
46,Male,36-40,Dry,Wrinkles,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
47,Female,Above 45,Normal,Wrinkles,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
48,Female,21-25,Normal,Wrinkles,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
49,Male,15-20,Normal,Acne,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
50,Male,26-30,Normal,Wrinkles,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
51,Female,15-20,Oily,Dryness,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
52,Female,41-45,Normal,Pigmentation,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
53,Female,41-45,Dry,Dryness,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
54,Male,41-45,Normal,Oiliness,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
55,Female,15-20,Normal,Dullness,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
56,Male,31-35,Oily,Acne,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
57,Female,15-20,Normal,Dullness,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
58,Male,36-40,Sensitive,Dullness,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
59,Male,21-25,Combination,Wrinkles,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
60,Male,Above 45,Combination,Sensitivity,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
61,Male,15-20,Dry,Acne,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
62,Female,Above 45,Oily,Acne,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
63,Male,15-20,Oily,Dryness,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
64,Male,26-30,Normal,Darkness,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
65,Male,31-35,Oily,Darkness,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
66,Female,26-30,Dry,Dryness,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
67,Male,15-20,Normal,Wrinkles,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
68,Male,41-45,Normal,Acne,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
69,Female,41-45,Sensitive,Dryness,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
70,Female,36-40,Sensitive,Wrinkles,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
71,Male,36-40,Oily,Sensitivity,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
72,Male,26-30,Oily,Wrinkles,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
73,Male,26-30,Dry,Pigmentation,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
74,Female,15-20,Oily,Wrinkles,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
75,Female,Above 45,Normal,Dullness,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
76,Female,15-20,Dry,Acne,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
77,Female,36-40,Combination,Sensitivity,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
78,Female,21-25,Sensitive,Acne,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
79,Female,15-20,Oily,Wrinkles,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
80,Male,31-35,Combination,Dullness,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
81,Female,Above 45,Dry,Darkness,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
82,Male,Above 45,Oily,Sensitivity,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
83,Female,41-45,Normal,Pigmentation,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
84,Female,21-25,Dry,Oiliness,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
85,Male,41-45,Sensitive,Dullness,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
86,Male,26-30,Oily,Pigmentation,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
87,Female,41-45,Combination,Dullness,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
88,Female,31-35,Oily,Darkness,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
89,Male,21-25,Combination,Dryness,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
90,Male,41-45,Normal,Dryness,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
91,Female,15-20,Dry,Acne,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
92,Female,31-35,Normal,Pigmentation,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
93,Female,36-40,Sensitive,Wrinkles,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
94,Female,15-20,Combination,Dullness,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
95,Male,36-40,Sensitive,Sensitivity,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
96,Male,36-40,Combination,Wrinkles,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
97,Female,31-35,Normal,Sensitivity,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
98,Male,15-20,Normal,Dullness,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
99,Female,Above 45,Dry,Pigmentation,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
100,Male,21-25,Dry,Dullness,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
101,Female,41-45,Dry,Sensitivity,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
102,Male,36-40,Oily,Dullness,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
103,Female,15-20,Normal,Dullness,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
104,Male,15-20,Combination,Pigmentation,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
105,Male,Above 45,Combination,Acne,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
106,Female,36-40,Dry,Sensitivity,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
107,Female,36-40,Oily,Dryness,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
108,Male,15-20,Oily,Acne,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
109,Male,36-40,Dry,Darkness,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
110,Female,36-40,Combination,Dryness,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
111,Female,26-30,Oily,Dryness,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
112,Female,Above 45,Oily,Pigmentation,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
113,Female,31-35,Sensitive,Darkness,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
114,Male,41-45,Dry,Oiliness,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
115,Female,21-25,Dry,Dullness,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
116,Female,36-40,Dry,Dryness,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
117,Female,36-40,Sensitive,Dullness,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
118,Female,21-25,Sensitive,Oiliness,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
119,Male,21-25,Normal,Sensitivity,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
120,Female,31-35,Combination,Oiliness,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
121,Female,26-30,Normal,Dullness,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
122,Female,26-30,Combination,Pigmentation,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
123,Female,Above 45,Sensitive,Wrinkles,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
124,Male,21-25,Normal,Wrinkles,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
125,Female,21-25,Normal,Dryness,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
126,Male,15-20,Normal,Dullness,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
127,Female,15-20,Normal,Wrinkles,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
128,Male,41-45,Normal,Wrinkles,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
129,Female,15-20,Normal,Darkness,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
130,Male,26-30,Sensitive,Acne,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
131,Male,36-40,Combination,Wrinkles,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
132,Female,36-40,Sensitive,Sensitivity,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
133,Male,21-25,Oily,Dryness,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
134,Male,36-40,Oily,Dullness,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
135,Female,36-40,Sensitive,Pigmentation,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
136,Female,31-35,Dry,Acne,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
137,Male,41-45,Oily,Acne,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
138,Male,Above 45,Sensitive,Pigmentation,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
139,Male,21-25,Dry,Wrinkles,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
140,Female,Above 45,Oily,Darkness,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
141,Male,31-35,Sensitive,Dryness,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
142,Male,26-30,Dry,Darkness,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
143,Female,31-35,Combination,Wrinkles,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
144,Female,21-25,Combination,Dullness,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
145,Male,26-30,Normal,Wrinkles,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
146,Female,36-40,Combination,Dryness,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
147,Female,31-35,Sensitive,Sensitivity,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
148,Male,15-20,Oily,Sensitivity,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
149,Male,26-30,Oily,Oiliness,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
150,Male,Above 45,Normal,Dryness,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
151,Male,36-40,Dry,Sensitivity,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
152,Female,Above 45,Sensitive,Oiliness,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
153,Male,31-35,Normal,Dullness,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
154,Female,15-20,Combination,Wrinkles,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
155,Male,21-25,Dry,Oiliness,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
156,Female,Above 45,Combination,Wrinkles,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
157,Female,36-40,Dry,Darkness,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
158,Male,26-30,Combination,Sensitivity,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
159,Female,26-30,Oily,Dullness,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
160,Female,26-30,Dry,Dryness,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
161,Male,36-40,Combination,Pigmentation,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
162,Male,15-20,Normal,Oiliness,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
163,Male,26-30,Oily,Darkness,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
164,Female,Above 45,Combination,Dryness,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
165,Female,41-45,Combination,Pigmentation,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
166,Male,26-30,Normal,Oiliness,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
167,Male,31-35,Dry,Oiliness,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
168,Female,21-25,Combination,Darkness,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
169,Female,41-45,Dry,Dryness,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
170,Female,36-40,Dry,Dryness,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
171,Male,41-45,Combination,Dullness,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
172,Male,21-25,Dry,Dullness,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
173,Female,Above 45,Oily,Dullness,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
174,Female,15-20,Combination,Dryness,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
175,Female,15-20,Dry,Darkness,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
176,Female,Above 45,Dry,Dryness,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
177,Female,21-25,Normal,Dryness,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
178,Female,31-35,Dry,Pigmentation,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
179,Female,41-45,Oily,Sensitivity,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
180,Male,Above 45,Combination,Acne,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
181,Male,Above 45,Dry,Acne,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
182,Female,21-25,Normal,Acne,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
183,Female,41-45,Dry,Oiliness,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
184,Female,36-40,Dry,Wrinkles,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
185,Female,26-30,Oily,Dullness,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
186,Male,31-35,Dry,Acne,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
187,Male,21-25,Sensitive,Oiliness,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
188,Female,26-30,Combination,Dryness,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
189,Male,26-30,Oily,Sensitivity,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
190,Female,41-45,Combination,Darkness,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
191,Male,36-40,Oily,Sensitivity,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
192,Male,Above 45,Normal,Wrinkles,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
193,Male,Above 45,Normal,Dryness,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
194,Female,Above 45,Sensitive,Oiliness,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
195,Female,31-35,Normal,Wrinkles,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
196,Female,21-25,Sensitive,Wrinkles,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
197,Male,15-20,Normal,Darkness,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
198,Female,31-35,Normal,Wrinkles,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
199,Male,21-25,Oily,Darkness,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
200,Female,21-25,Dry,Oiliness,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
201,Female,Above 45,Oily,Dullness,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
202,Male,36-40,Normal,Oiliness,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
203,Male,36-40,Normal,Pigmentation,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
204,Male,15-20,Oily,Sensitivity,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
205,Female,26-30,Oily,Dullness,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
206,Male,36-40,Sensitive,Wrinkles,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
207,Male,26-30,Oily,Oiliness,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
208,Male,Above 45,Sensitive,Wrinkles,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
209,Male,36-40,Sensitive,Oiliness,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
210,Male,21-25,Oily,Pigmentation,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
211,Male,36-40,Normal,Pigmentation,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
212,Male,Above 45,Normal,Dullness,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
213,Male,41-45,Combination,Darkness,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
214,Female,Above 45,Dry,Dullness,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
215,Female,15-20,Oily,Dryness,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
216,Female,26-30,Dry,Sensitivity,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
217,Female,21-25,Dry,Darkness,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
218,Male,Above 45,Sensitive,Acne,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
219,Male,26-30,Combination,Dullness,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
220,Male,36-40,Dry,Oiliness,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
221,Male,15-20,Sensitive,Oiliness,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
222,Male,36-40,Sensitive,Acne,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
223,Male,31-35,Dry,Pigmentation,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
224,Female,Above 45,Combination,Pigmentation,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
225,Male,Above 45,Dry,Pigmentation,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
226,Female,21-25,Oily,Dryness,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
227,Male,31-35,Sensitive,Oiliness,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
228,Male,15-20,Sensitive,Dullness,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
229,Male,31-35,Combination,Darkness,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
230,Male,31-35,Normal,Wrinkles,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
231,Female,15-20,Normal,Pigmentation,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
232,Female,21-25,Sensitive,Pigmentation,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
233,Male,41-45,Normal,Oiliness,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
234,Male,31-35,Oily,Dryness,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
235,Male,Above 45,Sensitive,Darkness,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
236,Female,26-30,Sensitive,Dryness,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
237,Female,15-20,Dry,Sensitivity,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
238,Male,41-45,Oily,Acne,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
239,Male,15-20,Dry,Wrinkles,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
240,Male,26-30,Dry,Pigmentation,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
241,Male,15-20,Combination,Wrinkles,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
242,Male,31-35,Oily,Oiliness,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
243,Female,26-30,Oily,Pigmentation,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
244,Female,36-40,Oily,Dullness,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
245,Female,Above 45,Combination,Acne,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
246,Male,15-20,Sensitive,Oiliness,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
247,Female,41-45,Dry,Oiliness,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
248,Female,21-25,Normal,Wrinkles,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
249,Female,31-35,Combination,Wrinkles,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
250,Female,15-20,Combination,Pigmentation,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
251,Male,26-30,Sensitive,Wrinkles,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
252,Female,31-35,Combination,Sensitivity,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
253,Male,15-20,Oily,Dryness,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
254,Male,31-35,Dry,Wrinkles,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
255,Male,31-35,Normal,Sensitivity,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
256,Female,15-20,Normal,Dullness,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
257,Female,15-20,Oily,Wrinkles,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
